id,first_name,last_name,web_name,position,team,expected_goals,expected_assists,news
517.0,Aaron,Cresswell,Cresswell,2.0,19.0,0.0,0.0,
519.0,George,Earthy,Earthy,3.0,19.0,0.0,0.0,Loaned to Bristol City
520.0,Emerson,Palmieri dos Santos,Emerson,2.0,19.0,0.04,0.14,Knee injury - 75% chance of playing
521.0,Łukasz,Fabiański,Fabianski,1.0,19.0,0.0,0.0,
522.0,Wes,Foderingham,Foderingham,1.0,19.0,0.0,0.0,
523.0,Danny,Ings,Ings,4.0,19.0,0.5,0.0,
524.0,Max,Kilman,Kilman,2.0,19.0,0.28,0.08,
525.0,Mohammed,Kudus,Kudus,3.0,19.0,0.3,0.73,
526.0,Luis Guilherme,Lira dos Santos,L.Guilherme,3.0,19.0,0.0,0.0,
527.0,Lucas,Tolentino Coelho de Lima,L.Paquetá,3.0,19.0,0.94,0.2,
528.0,Konstantinos,Mavropanos,Mavropanos,2.0,19.0,0.11,0.01,
529.0,Nayef,Aguerd,N.Aguerd,2.0,19.0,0.0,0.0,On loan to Real Sociedad for the season
530.0,Tomáš,Souček,Souček,3.0,19.0,1.45,0.3,
532.0,Kurt,Zouma,Zouma,2.0,19.0,0.0,0.0,On loan to Al-Orobah for the rest of the season
576.0,Andy,Irving,Irving,3.0,19.0,0.0,0.0,
587.0,Crysencio,Summerville,Summerville,3.0,19.0,0.06,0.18,
588.0,Guido,Rodríguez,G.Rodríguez,3.0,19.0,0.05,0.04,
589.0,Niclas,Füllkrug,Füllkrug,4.0,19.0,0.25,0.09,Achilles injury - 50% chance of playing
591.0,Jean-Clair,Todibo,Todibo,2.0,19.0,0.0,0.0,
643.0,Kaelan,Casey,Casey,2.0,19.0,0.0,0.0,
654.0,Carlos,Soler,C.Soler,3.0,19.0,0.0,0.0,
204.0,Sam,Johnstone,Johnstone,1.0,20.0,0.0,0.0,
533.0,Rayan,Aït-Nouri,Aït-Nouri,2.0,20.0,0.42,0.23,Knock - 75% chance of playing
534.0,Boubacar,Traoré,B.Traore,3.0,20.0,0.0,0.0,Knee injury - Unknown return date
535.0,Jean-Ricner,Bellegarde,Bellegarde,3.0,20.0,0.21,0.02,
536.0,Daniel,Bentley,Bentley,1.0,20.0,0.0,0.0,
537.0,Francisco Jorge,Tomás Oliveira,Chiquinho,3.0,20.0,0.0,0.05,Season long loan to RCD Mallorca
538.0,Tawanda,Chirewa,Chirewa,3.0,20.0,0.0,0.0,Loaened to Derby County
539.0,Leon,Chiwome,Chiwome,4.0,20.0,0.0,0.0,
540.0,Luke,Cundle,Cundle,3.0,20.0,0.0,0.0,
541.0,Matheus,Santos Carneiro Da Cunha,Cunha,4.0,20.0,1.41,0.58,
542.0,Craig,Dawson,Dawson,2.0,20.0,0.0,0.04,
543.0,Matt,Doherty,Doherty,2.0,20.0,0.08,0.08,
544.0,Tommy,Doyle,Doyle,3.0,20.0,0.04,0.06,
545.0,Fábio,Silva,Fábio Silva,4.0,20.0,0.0,0.0,Season long loan to Las Palmas
546.0,Nathan,Fraser,Fraser,4.0,20.0,0.0,0.0,Loaned to Zulte Waregem
547.0,Enso,González,Gonzalez,3.0,20.0,0.0,0.0,Knee injury - Unknown return date
548.0,Gonçalo Manuel,Ganchinho Guedes,Guedes,3.0,20.0,0.0,0.01,
549.0,Hugo,Bueno López,H.Bueno,2.0,20.0,0.0,0.0,Loaned to Feyenoord
550.0,Hwang,Hee-chan,Hee Chan,3.0,20.0,0.0,0.15,
551.0,Joe,Hodge,Hodge,3.0,20.0,0.0,0.0,Season long to Huddersfield Town
552.0,Ki-Jana,Hoever,Hoever,2.0,20.0,0.0,0.0,Loaned to Auxerre
553.0,João Victor,Gomes da Silva,J.Gomes,3.0,20.0,0.13,0.07,
554.0,José,Malheiro de Sá,José Sá,1.0,20.0,0.0,0.01,
555.0,Saša,Kalajdžić,Kalajdžić,4.0,20.0,0.0,0.0,Knee injury - Unknown return date
556.0,Tom,King,King,1.0,20.0,0.0,0.0,
557.0,Mario,Lemina,Mario Jr.,3.0,20.0,0.51,0.33,
558.0,Yerson,Mosquera,Mosquera,2.0,20.0,0.33,0.02,
